Categoría,Palabra en Inglés,Pronunciación,Traducción,ID
ADVERBIOS (Tiempo),now,nau,ahora,13000
ADVERBIOS (Tiempo),then,ðen,luego,13001
ADVERBIOS (Tiempo),today,tudéi,hoy,13002
ADVERBIOS (Tiempo),tomorrow,tomó-rou,mañana,13003
ADVERBIOS (Tiempo),yesterday,yé-ster-déi,ayer,13004
ADVERBIOS (Tiempo),soon,sun,pronto,13005
ADVERBIOS (Tiempo),later,léi-ter,luego,13006
ADVERBIOS (Tiempo),early,ér-li,temprano,13007
ADVERBIOS (Tiempo),late,leít,tarde,13008
ADVERBIOS (Tiempo),already,ól-red-i,ya,13009
ADVERBIOS (Tiempo),still,stíl,aún,13010
ADVERBIOS (Tiempo),yet,yet,aún,13011
ADVERBIOS (Tiempo),just,just,justo,13012
ADVERBIOS (Tiempo),finally,fáin-al-li,finalmente,13013
ADVERBIOS (Tiempo),recently,rís-nt-li,recientemente,13014
ADVERBIOS (Tiempo),always,ól-weis,siempre,13015
ADVERBIOS (Tiempo),never,né-ver,nunca,13016
ADVERBIOS (Tiempo),ever,é-ver,alguna vez,13017
ADVERBIOS (Tiempo),often,óf-en,a menudo,13018
ADVERBIOS (Tiempo),sometimes,sám-taims,a veces,13019
ADVERBIOS (Frecuencia),always,ól-weis,siempre,13020
ADVERBIOS (Frecuencia),usually,jú-ual-li,usualmente,13021
ADVERBIOS (Frecuencia),often,óf-en,a menudo,13022
ADVERBIOS (Frecuencia),sometimes,sám-taims,a veces,13023
ADVERBIOS (Frecuencia),rarely,rér-li,poco frecuentemente,13024
ADVERBIOS (Frecuencia),never,né-ver,nunca,13025
ADVERBIOS (Frecuencia),daily,deil-i,diariamente,13026
ADVERBIOS (Frecuencia),weekly,wi-kli,semanalmente,13027
ADVERBIOS (Frecuencia),monthly,mán-thli,mensualmente,13028
ADVERBIOS (Frecuencia),annually,án-nu-al-li,anualmente,13029
ADVERBIOS (Frecuencia),occasionally,okéi-sho-nal-li,ocasionalmente,13030
ADVERBIOS (Frecuencia),frequently,frí-kwent-li,frecuentemente,13031
ADVERBIOS (Frecuencia),constantly,kón-stant-li,constantemente,13032
ADVERBIOS (Frecuencia),regularly,ré-gu-lar-li,regularmente,13033
ADVERBIOS (Frecuencia),hardly,há-dli,dificilmente,13034
ADVERBIOS (Frecuencia),seldom,sél-dum,rara vez,13035
ADVERBIOS (Frecuencia),intermittently,in-tér-mí-ten-tli,intermitentemente,13036
ADVERBIOS (Frecuencia),repeatedly,ri-pí-ted-li,repetidamente,13037
ADVERBIOS (Frecuencia),every day,év-ri deí,cada día,13038
ADVERBIOS (Frecuencia),once,uan,una vez,13039
ADVERBIOS (Lugar y dirección),here,híer,aquí,13040
ADVERBIOS (Lugar y dirección),there,ðér,allí,13041
ADVERBIOS (Lugar y dirección),everywhere,év-ri-uér,todo lugar,13042
ADVERBIOS (Lugar y dirección),somewhere,sám-uer,lugar desconocido,13043
ADVERBIOS (Lugar y dirección),nowhere,nóu-uer,en ninguna parte,13044
ADVERBIOS (Lugar y dirección),above,abáv,encima,13045
ADVERBIOS (Lugar y dirección),below,bilóu,debajo,13046
ADVERBIOS (Lugar y dirección),inside,ín-said,adentro,13047
ADVERBIOS (Lugar y dirección),outside,áut-said,afuera,13048
ADVERBIOS (Lugar y dirección),upstairs,ap-sterz,arriba,13049
ADVERBIOS (Lugar y dirección),downstairs,daún-sterz,abajo,13050
ADVERBIOS (Lugar y dirección),forward,fór-ward,hacia adelante,13051
ADVERBIOS (Lugar y dirección),backward,bák-wérd,hacia atrás,13052
ADVERBIOS (Lugar y dirección),ahead,a-jéd,delante,13053
ADVERBIOS (Lugar y dirección),behind,bi-háind,atrás,13054
ADVERBIOS (Lugar y dirección),nearby,nír-bai,cerca,13055
ADVERBIOS (Lugar y dirección),far,fár,lejos,13056
